Bioactivity_ID,Aid_Type,Activity,Protein_Accession,Activity_Type,Activity_Qualifier,Bioassay_Data_Source,BioAssay_Name,Compound_Name,Target_Name,Target_Link,ECs,Representative_Protein_Accession,Cell_ID,Anatomy,dois,pmcids,pclids,citations,BioAssay_AID,Substance_SID,Compound_CID,refsid,Gene_ID,PMID,Last_Modified_Date,Has_Dose_Response_Curve,RNAi_BioAssay,Activity_Value,Taxonomy_ID,Target_Taxonomy_ID,Anatomy_ID
334754348,Confirmatory,Unspecified,AEP43755,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway,1-Amino-2-propanol,ESR1 - estrogen receptor 1 (human),/gene/2099,,P03372,,,,,,,743069,144212021,4,,2099,,20140820,1,0,21.872400,9606,,
100909607,Confirmatory,Probe,,IC50,=,ChEMBL,Inhibitory activity against Plasmodium falciparum,1-Amino-2-propanol,Plasmodium falciparum (malaria parasite P. falciparum),/taxonomy/5833,,,,,10.1021/jm9701886,,2925795,"Calas M, Cordina G, Bompart J, Ben Bari M, Jei T, Ancelin ML, Vial H. Antimalarial activity of molecules interfering with Plasmodium falciparum phospholipid metabolism. Structure-activity relationship analysis. J Med Chem. 1997 Oct 24;40(22):3557–66. doi: 10.1021/jm9701886. PMID: 9357523.",158688,103342061,4,,,9357523,20240503,0,0,800.000000,5833,5833,
3211067,Other,Unspecified,,,,DTP/NCI,NCI Yeast Anticancer Drug Screen. Data for the mec2-1 strain,1-Amino-2-propanol,,,,,,,,,,,157,69716,4,505424941,,,20040815,0,0,,,,
3219009,Other,Unspecified,,,,DTP/NCI,NCI Yeast Anticancer Drug Screen. Data for the cln2 rad14 strain,1-Amino-2-propanol,,,,,,,,,,,165,69716,4,505424941,,,20040815,0,0,,,,
383459365,Confirmatory,Unspecified,AAI13547,Potency,,Tox21,"Human gonadotropin-releasing hormone receptor (GnRHR) small molecule agonists, calcium flux assay in GnRHR-HEK293 cells",1-Amino-2-propanol,GNRHR - gonadotropin releasing hormone receptor (human),/gene/2798,,P30968,45,,,,,,1920063,144212021,4,,2798,,20240219,1,0,,9606,,
3629379,Other,Unspecified,,,,DTP/NCI,NCI Yeast Anticancer Drug Screen. Data for the sgs1 mgt1 strain,1-Amino-2-propanol,,,,,,,,,,,161,69716,4,505424941,,,20040815,0,0,,,,
3639698,Other,Unspecified,,,,DTP/NCI,NCI Yeast Anticancer Drug Screen. Data for the rad50 strain,1-Amino-2-propanol,,,,,,,,,,,155,69716,4,505424941,,,20040815,0,0,,,,
383457459,Confirmatory,Unspecified,,Potency,,Tox21,"G protein-coupled receptor (GPCR) small molecule agonists, calcium flux assay: HEK293 wild type cell line counter screen",1-Amino-2-propanol,,,,,45,,,,,,1920065,144212021,4,,,,20240305,1,0,,,,
383457597,Confirmatory,Unspecified,AAH11558,Potency,,Tox21,Nuclear factor erythroid 2-related factor 2/antioxidant responsive element (Nrf2/ARE) small molecule agonists: luciferase reporter gene qHTS assay in human keratinocytes,1-Amino-2-propanol,NFE2L2 - NFE2 like bZIP transcription factor 2 (human),/gene/4780,,Q16236,38,,,,,,1919969,144212021,4,,4780,,20240130,1,0,,9606,,
383418087,Confirmatory,Unspecified,,Potency,,Tox21,Nuclear factor erythroid 2-related factor 2/antioxidant responsive element (Nrf2/ARE) small molecule agonists: qHTS cell viability counter screen in human keratinocytes,1-Amino-2-propanol,,,,,38,,,,,,1919968,144212021,4,,,,20240130,1,0,,,,
3416600,Other,Unspecified,,,,DTP/NCI,NCI Yeast Anticancer Drug Screen. Data for the bub3 strain,1-Amino-2-propanol,,,,,,,,,,,167,69716,4,505424941,,,20040815,0,0,,,,
3405456,Other,Unspecified,,,,DTP/NCI,NCI Yeast Anticancer Drug Screen. Data for the mlh1 rad18 strain,1-Amino-2-propanol,,,,,,,,,,,175,69716,4,505424941,,,20040815,0,0,,,,
334723144,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the androgen  receptor (AR) signaling pathway - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,743033,144212021,4,,,,20140820,1,0,,,,
32761399,Other,Active,,,,EPA DSSTox,DSSTox (EPAFHM) EPA Fathead Minnow Acute Toxicity,1-Amino-2-propanol,,,,,,,,,,,1188,48414956,4,505424941,,,20080313,0,0,,,,
369510249,Confirmatory,Unspecified,ABI96208,Potency,,Tox21,Cytochrome P450 Family 3 Subfamily A Member 4 (CYP3A4) small molecule antagonists: luciferase reporter qHTS assay,1-Amino-2-propanol,CYP3A4 - cytochrome P450 family 3 subfamily A member 4 (human),/gene/1576,,P08684,,,,,,,1671201,144212021,4,,1576,,20210929,1,0,,9606,,
371381561,Confirmatory,Unspecified,EAW99313,Potency,,Tox21,Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay,1-Amino-2-propanol,CYP1A2 - cytochrome P450 family 1 subfamily A member 2 (human),/gene/1544,,P05177,,,,,,,1671199,144212021,4,,1544,,20210929,1,0,,9606,,
350581707,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule agonists or antagonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway - wild type cell line counter screen,1-Amino-2-propanol,,,,,45,,,,,,1259384,144212021,4,,,,20180223,1,0,,,,
350563794,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the estrogen receptor beta (ER-beta) signaling pathway - cell viability counter screen,1-Amino-2-propanol,,,,,54,,,,,,1259382,144212021,4,,,,20180222,1,0,,,,
346189539,Confirmatory,Unspecified,AAI32976,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line in the presence of 0.5 nM R1881,1-Amino-2-propanol,AR - androgen receptor (human),/gene/367,,AAI32976,395,,,,,,1259243,144212021,4,,367,,20170127,1,0,,9606,,
350569944,Confirmatory,Unspecified,AEP43755,Potency,,Tox21,qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway in the presence of an antagonist,1-Amino-2-propanol,ESR1 - estrogen receptor 1 (human),/gene/2099,,P03372,21258,,,,,,1259383,144212021,4,,2099,,20180223,1,0,,9606,,
346204500,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line in the presence of 0.1 nM 17-beta-estradiol - cell viability counter screen,1-Amino-2-propanol,,,,,21257,,,,,,1259241,144212021,4,,,,20170127,1,0,,,,
369362152,Confirmatory,Unspecified,,Potency,,Tox21,Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay,1-Amino-2-propanol,CYP2C9 - cytochrome P450 family 2 subfamily C member 9 (human),/gene/1559,,,,,,,,,1671198,144212021,4,,1559,,20210929,1,0,,9606,,
351745289,Summary,Unspecified,ADZ17378,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library: Summary,1-Amino-2-propanol,ESRRA - estrogen related receptor alpha (human),/gene/2101,,P11474,54,,,,,,1259403,144212021,4,,2101,,20180322,0,0,,9606,,
351725977,Summary,Unspecified,ADZ17378,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library: Summary,1-Amino-2-propanol,ESRRA - estrogen related receptor alpha (human),/gene/2101,,P11474,54,,,,,,1259401,144212021,4,,2101,,20180322,0,0,,9606,,
351847724,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351847820,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351847916,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848012,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848108,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848204,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848300,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848396,Other,Active,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848492,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848588,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848684,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848780,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848876,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848972,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351849068,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
345812499,Confirmatory,Unspecified,,Potency,,Tox21,qHTS RealTime-Glo MT Cell Viability Assay in HEK293 cells - 16 hour,1-Amino-2-propanol,,,,,45,,,,,,1224872,144212021,4,,,,20160908,1,0,,,,
345768105,Confirmatory,Unspecified,,Potency,,Tox21,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HEK293 cells - 8 hour,1-Amino-2-propanol,,,,,45,,,,,,1224884,144212021,4,,,,20160908,1,0,,,,
351847756,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351847852,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351847948,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848044,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848140,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848236,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848332,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848428,Other,Active,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848524,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848620,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848716,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848812,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351848908,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351849004,Other,Unspecified,,,,Chemical Carcinogenesis Research Information System (CCRIS),CCRIS mutagenicity studies,1-Amino-2-propanol,,,,,,,,,,,1259407,363900234,4,,,,20180523,0,0,,,,
351735625,Summary,Unspecified,ADZ17378,,,Tox21,qHTS assay to identify small molecule agonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library: Summary,1-Amino-2-propanol,ESRRA - estrogen related receptor alpha (human),/gene/2101,,P11474,54,,,,,,1259402,144212021,4,,2101,,20180322,0,0,,9606,,
