id,Data_Source,Compound,Source_Chemical_ID,Source_Chemical,Source_Chemical_URL,Source_Kind,Source_ID,Source,Source_URL,Source_Part,Source_Organism_ID,Source_Organism,Source_Organism_URL,Taxonomy,Evidence,Evidence_URLs,Evidence_PMIDs,Evidence_DOIs,pmcids,pclids,References,Compound_CID,Taxonomy_ID
,FooDB,1-Amino-2-propanol,FDB008936,1-Amino-2-propanol,https://foodb.ca/compounds/FDB008936,Food Compound,FOOD00329,Chicken,https://foodb.ca/foods/FOOD00329,,9031,Gallus gallus,,Gallus gallus (chicken),,,,,,,,4,9031
,FooDB,1-Amino-2-propanol,FDB008936,1-Amino-2-propanol,https://foodb.ca/compounds/FDB008936,Food Compound,FOOD00360,Emu,https://foodb.ca/foods/FOOD00360,,8790,Dromaius novaehollandiae,,Dromaius novaehollandiae (emu),,,,,,,,4,8790
,FooDB,1-Amino-2-propanol,FDB008936,1-Amino-2-propanol,https://foodb.ca/compounds/FDB008936,Food Compound,FOOD00422,Ostrich,https://foodb.ca/foods/FOOD00422,,8801,Struthio camelus,,Struthio camelus (African ostrich),,,,,,,,4,8801
,FooDB,1-Amino-2-propanol,FDB008936,1-Amino-2-propanol,https://foodb.ca/compounds/FDB008936,Food Compound,FOOD00473,"Sheep (Mutton, Lamb)",https://foodb.ca/foods/FOOD00473,,9940,Ovis aries,,Ovis aries (sheep),,,,,,,,4,9940
,FooDB,1-Amino-2-propanol,FDB008936,1-Amino-2-propanol,https://foodb.ca/compounds/FDB008936,Food Compound,FOOD00495,"Cattle (Beef, Veal)",https://foodb.ca/foods/FOOD00495,,9913,Bos taurus,,Bos taurus (domestic cattle),,,,,,,,4,9913
,FooDB,1-Amino-2-propanol,FDB008936,1-Amino-2-propanol,https://foodb.ca/compounds/FDB008936,Food Compound,FOOD00530,Beefalo,https://foodb.ca/foods/FOOD00530,,297284,Bos taurus X Bison bison,,Bos taurus x Bison bison (beefalo),,,,,,,,4,297284
,FooDB,1-Amino-2-propanol,FDB008936,1-Amino-2-propanol,https://foodb.ca/compounds/FDB008936,Food Compound,FOOD00581,Mountain hare,https://foodb.ca/foods/FOOD00581,,62621,Lepus timidus,,Lepus timidus (Mountain hare),,,,,,,,4,62621
,FooDB,1-Amino-2-propanol,FDB008936,1-Amino-2-propanol,https://foodb.ca/compounds/FDB008936,Food Compound,FOOD00307,Wild boar,https://foodb.ca/foods/FOOD00307,,9823,Sus scrofa,,Sus scrofa (pig),,,,,,,,4,9823
,FooDB,1-Amino-2-propanol,FDB008936,1-Amino-2-propanol,https://foodb.ca/compounds/FDB008936,Food Compound,FOOD00353,Mallard duck,https://foodb.ca/foods/FOOD00353,,8839,Anas platyrhynchos,,Anas platyrhynchos (mallard),,,,,,,,4,8839
,FooDB,1-Amino-2-propanol,FDB008936,1-Amino-2-propanol,https://foodb.ca/compounds/FDB008936,Food Compound,FOOD00373,Guinea hen,https://foodb.ca/foods/FOOD00373,,8996,Numida meleagris,,Numida meleagris (helmeted guineafowl),,,,,,,,4,8996
,FooDB,1-Amino-2-propanol,FDB008936,1-Amino-2-propanol,https://foodb.ca/compounds/FDB008936,Food Compound,FOOD00430,Pheasant,https://foodb.ca/foods/FOOD00430,,9054,Phasianus colchicus,,Phasianus colchicus (ring-necked pheasant),,,,,,,,4,9054
,FooDB,1-Amino-2-propanol,FDB008936,1-Amino-2-propanol,https://foodb.ca/compounds/FDB008936,Food Compound,FOOD00481,Squab,https://foodb.ca/foods/FOOD00481,,8931,Columba,,Columba,,,,,,,,4,8931
,FooDB,1-Amino-2-propanol,FDB008936,1-Amino-2-propanol,https://foodb.ca/compounds/FDB008936,Food Compound,FOOD00528,Rabbit,https://foodb.ca/foods/FOOD00528,,9979,Leporidae,,Leporidae (rabbits and hares),,,,,,,,4,9979
