PubChem_Literature_ID_(PCLID),PMCID,DOI,PMID_(All),DOI_(All),PubChem_Data_Source,Publication_Type,Title,Abstract,Publication_Name,Author(s),Author_Affiliation(s),Language,Subject,URL,Image_used_as_thumbnail,Keywords,Citation,PubChem_CID,PubChem_SID,PubChem_AID,refchemids,PubChem_Protein,PubChem_Gene,PubChem_Taxonomy,PubChem_Target_Taxonomy,PubChem_Pathway,PubChem_Pathway,PubChem_Cell,cellaccs,PubChem_Disease,PubChem_Reference_SID,PMID,Publication_Date
39023451,,10.1007/s10482-025-02114-8,40581877,10.1007/s10482-025-02114-8,PubChem|Springer Nature,Journal Article,"Description of Paenibacillus jiagnxiensis sp. nov., a mesotrione-degrading bacterium isolated from farmland and cloning of a novel mesotrione nitroreductase gene","A Gram positive, aerobic, cream-white, motile, and rod-shaped bacterium, designated as P8T, was isolated from the soil collected from a farmland in JiangXi Province, China. Strain P8T efficiently transformed herbicide mesotrione to 2-amino-4-methylsulfonylbenzoic acid (AMBA). Strain P8T showed the highest 16S rRNA gene sequence similarity with Paenibacillus terreus D33T (97.4%). Phylogenetic trees based on 16S rRNA gene and genome sequences indicated that strain P8T formed a distinct clade within the genus Paenibacillus. The major cellular fatty acids were anteiso-C15:0, C16:0, anteiso-C17:0 and iso-C16:0, the predominant menaquinone was menaquinone-7 (MK-7), the polar lipids profile consisted of phosphatidyl ethanolamine (PE), phosphatidyl monomethyl ethanolamine (PME), phosphatidylglycerol (PG), diphosphatidylglycerol (DPG), one unidentified aminolipid (AL), one unidentified aminophospholipid (APL), two unidentified glycolipids (GL1-2), two unidentified phospholipids (PL1-2), and two unidentified polar lipids (L1-2). The DNA G + C content was 49.9%. The average nucleotide identity (ANI) and digital DNA-DNA hybridization (dDDH) values between P8T and closely related type strains in genus Paenibacillus were 70.4-93.0% and 13.0-48.3%, respectively. Based on the phenotypic, phylogenetic and genomic results, strain P8T represents a novel species of the genus Paenibacillus, for which the name Paenibacillus jiagnxiensis sp. nov. is proposed, with strain P8T (= KCTC 43704 T = MCCC 1K09190T) as the type strain. Furthermore, a nitroreductase gene (WP355320791), designated as mstnr, that efficiently transformed mesotrione to AMBA was identified in strain P8T. Mstnr consists of 219 amino acids, and shares low similarities (less than 32%) with reported mesotrione nitroreductases.",Antonie van Leeuwenhoek,"Luyao Ruan, Leyun Dong, Jiale Ma, Ye Song, Minglai Wan, Jian He, Jiandong Jiang",,English,"Base Composition; Cyclohexanones*/metabolism; Paenibacillus*/genetics/classification/isolation & purification/enzymology/metabolism; China; RNA, Ribosomal, 16S/genetics; Fatty Acids/analysis/metabolism; Cloning, Molecular; Biomedical and Life Sciences; Phylogeny; Sequence Analysis, DNA; Bacterial Typing Techniques; Soil Microbiology*; Biodegradation, Environmental; DNA, Bacterial/genetics/chemistry",https://pubmed.ncbi.nlm.nih.gov/40581877,,"Paenibacillus jiagnxiensis sp. nov., Gene clone, Mesotrione degradation, Nitroreductase Mstnr, Polyphasic taxonomy","Ruan L, Dong L, Ma J, Song Y, Wan M, He J, Jiang J. Description of Paenibacillus jiagnxiensis sp. nov., a mesotrione-degrading bacterium isolated from farmland and cloning of a novel mesotrione nitroreductase gene. Antonie Van Leeuwenhoek. 2025 Jun 29;118(8):98. doi: 10.1007/s10482-025-02114-8. PMID: 40581877.",4|196|525|700|798|887|892|1004|2764|2969|2973|3496|4650|4873|5234|5329|5959|6032|6106|6212|6224|6249|6251|6287|10712|12560|19233|24203|24450|24456|64947|67678|72395|84740|94154|101798|107526|152304|161658|175967|194216|439153|439174|439186|439255|440936|446598|516951|2761058|3000540|5311110|5460026|5460291|6097028|10236867|12147921|12310779|16760467|21961078|22242641|23623919|23672064|23690424|54684461,341138820|341138823|341138847|341138879|341138883|341138936|341139008|341139041|341139053|341139103|341139105|341139106|341139216|341139237|341139346|341139349|341139375|341139705|341139726|341139772|341139777|341139842|341139895|341139896|341139903|341139911|341139954|341139971|341140029|341140068|341140133|341140301|341140304|341140325|341140353|341140374|341140414|341140427|341140533|341140566|341140592|341140619|341140647|341140926|341140974|341141121|341141778|341141946|341142641|341143358|341143431|341143530|341143742|341143784|341149064|341149066|341149349|341149393|341154954|341163964|341164821|341252585|341287658|341421882|375571226,,15365|156682,,,,,,,,,,481101439|481101457|481106997|481107066|481107194|481107199|481107244|481107270|481107319|481107325|481107465|481107712|481107720|481107721|481107746|481107752|481107767|481107781|481107793|481107842|481107849|481107954|481107969|481108008|481108010|481108027|481181790|482038627|482042337|482095588|482095610|483925131|483925229|483925795|483925951|483925980|483928294|500773894|500795284|500798899|500800100|500821747|505424941|505460081|505554763|505586146|505635570|505814994|505883730|505896686|516567914|516572213|517915282|518180882,40581877,20250629
38596506,,10.1016/j.ejmech.2025.117553,40153931,10.1016/j.ejmech.2025.117553,PubChem,Journal Article,Structural optimization and discovery of high effective isopropanolamine-based TPS1 inhibitors as promising broad-spectrum fungicide candidates,"To address the growing resistance and environmental issues of existing fungicides, the development of novel broad-spectrum fungicides based on new targets, such as TPS1, has been prioritized. However, related research remains limited. In this study, we optimized our previously reported isopropanolamine-based MoTPS1 inhibitor, j11, by replacing its groups on both sides of its isopropanolamine linker with sulfonamide and 1,2,4-triazole fragments through a fragment replacement combining rational design approach. This approach led to the identification of novel isopropanolamine compounds, including g12, g18, o1, and o3, exhibiting significantly improved TPS1 inhibition compared to j11, with IC50 values against MoTPS1 and BcTPS1 of 8.38-14.73 and 38.70-59.99 μM, respectively. The interaction mechanism research confirmed that hydrogen bonds and salt bridges between the novel isopropanolamine compounds and the Glu396 residue in MoTPS1 were crucial during their interaction. Plant leaf and fruit inoculation experiment revealed that these novel isopropanolamine compounds exhibiting substantial inhibition against MoTPS1 and BcTPS1 significantly suppressed the infection of Magnaporthe oryzae and Botrytis cinerea. Preliminary fungicidal mechanism studies indicated that these novel isopropanolamine compounds disrupted various fungal physiological processes including sporulation, conidia germination, appressorium formation, and turgor pressure accumulation within appressorium, while also causing conidia deformation. The hyphal growth inhibition assay against various plant pathogenic fungi suggested that the novel isopropanolamine compounds such as o1 and o3 held the potential as broad-spectrum fungicide candidates with EC50 values of 2.80-17.55 μg/mL. The toxicological assessment suggested that compounds o1 and o3 had no potential toxicity towards diverse non-target organisms. This study provided a valuable insight for optimizing and developing high effective TPS1 inhibitors to be applied in the control of plant diseases.",European Journal of Medicinal Chemistry,"Zhiyang Jiang, Na Wang, Jinxiu Chen, Huan Xu, Wenya Zhu, Dongmei Shi, Chen Qian, Jie Shi, Xinyue Hu, Zhijian Xu, Dongli Wang, Xinling Yang, Junfeng Liu, Hongxia Duan",,English,"Drug Discovery*; Structure-Activity Relationship; Enzyme Inhibitors*/pharmacology/chemistry/chemical synthesis; Botrytis/drug effects; Fungicides, Industrial*/pharmacology/chemistry/chemical synthesis; Molecular Structure; Triazoles/chemical synthesis/chemistry/pharmacology; Propanolamines; Microbial Sensitivity Tests; Dose-Response Relationship, Drug",https://pubmed.ncbi.nlm.nih.gov/40153931,,"Fungicide candidates, Inhibitors, Isopropanolamine compounds, Structural optimization, Trehalose-6-phosphate synthase","Jiang Z, Wang N, Chen J, Xu H, Zhu W, Shi D, Qian C, Shi J, Hu X, Xu Z, Wang D, Yang X, Liu J, Duan H. Structural optimization and discovery of high effective isopropanolamine-based TPS1 inhibitors as promising broad-spectrum fungicide candidates. European Journal of Medicinal Chemistry. 2025 Jun;290():117553. doi: 10.1016/j.ejmech.2025.117553.",4|67516|2764127,,,13111|389342|429211,,,,,,,,,,481179536|504687783|505424941,40153931,20250605
775516908,,10.1007/s42765-025-00554-5,,10.1007/s42765-025-00554-5,Springer Nature,Journal Article,Piezophototronic Effect-Enhanced Highly Sensitive Flexible Photodetectors Based on Electrohydrodynamic Direct-writing Nanofiber Self-stacking,,Advanced Fiber Materials,"Xianruo Du, Zhenghui Peng, Yanyang Liang, Chenqi Zheng, Yisheng Zhong, Ruixin Chen, Yinuo Wang, Ziheng Li, Chunyu Xu, Zungui Shao, Yifang Liu, Huatan Chen, Gaofeng Zheng",,English,Chemistry and Material Science,https://doi.org/10.1007/s42765-025-00554-5,,,"Du X, Peng Z, Liang Y, Zheng C, Zhong Y, Chen R, Wang Y, Li Z, Xu C, Shao Z, Liu Y, Chen H, Zheng G. Piezophototronic Effect-Enhanced Highly Sensitive Flexible Photodetectors Based on Electrohydrodynamic Direct-writing Nanofiber Self-stacking. Adv. Fiber Mater. 2025 May 20;7(4):1232–43. doi: 10.1007/s42765-025-00554-5.",4|702|8086|14806|517041|3613546|10998019|16211698,341138843|341139249|341141300|341141949|341143784|341167991|341195661|341236966,,,,,,,,,,,,481101440|481107698|481107851|505424941|505583577|505900796|518173490,,20250520
38718892,PMC12016392,10.1186/s12866-025-03954-0,40269707,10.1186/s12866-025-03954-0,PubChem|Springer Nature,Journal Article|Comparative Study,Comparative genomics and evolutionary insights into zeaxanthin biosynthesis in two novel Flavobacterium species,"BACKGROUND: During the screening of pigment-producing microbes from domestic sources, 102 yellow- or orange-pigmented bacteria were isolated. Among these, two novel Flavobacterium strains, F. sedimentum SUN046T and F. fluvius SUN052T, were identified as zeaxanthin producers. A polyphasic taxonomic characterization, combined with comparative genomic analysis of 45 Flavobacterium species, was conducted to determine their taxonomic positions and explore potential evolutionary relationships in zeaxanthin biosynthesis. RESULTS: Both strains utilized the mevalonic acid (MVA) pathway and possessed the crt gene cluster (crtB, crtI, crtY/crtYcd, and crtZ). Strain SUN046T exhibited unique features in the carotenoid biosynthesis pathway, notably the absence of HMG-CoA synthase (HMGCS) in the upper MVA pathway and the presence of the rare lycopene β-cyclase crtYcd, which is uncommon among bacteria. The CrtYcd in SUN046T possessed a single active site and direct lycopene-binding modes. Conversely, CrtY in SUN052T exhibited multiple active sites, which is flavin adenine dinucleotide (FAD) dependent. These structural differences has impacted catalytic efficiencies, as evidenced by zeaxanthin yields of 6.49 µg/mL in SUN046T and 13.23 µg/mL in SUN052T. Variations in carotenoid biosynthetic pathway among other Flavobacterium species were also observed. CONCLUSION: These findings suggest that both strains represent valuable new resources for zeaxanthin production and provide foundational insights for biotechnological applications involving the genus Flavobacterium, highlighting the genetic and evolutionary complexity of microbial carotenoid biosynthesis.",BMC Microbiology,"Ye Zhuo, Chun-Zhi Jin, Chang-Soo Lee, Kee-Sun Shin, Hyung-Gwan Lee",,English,"Multigene Family; Genome, Bacterial; Evolution, Molecular*; Bacterial Proteins/genetics/metabolism; Biosynthetic Pathways/genetics; Biomedical and Life Sciences; Phylogeny; Flavobacterium*/genetics/metabolism/classification/isolation & purification; Zeaxanthins*/biosynthesis; Mevalonic Acid/metabolism; Genomics*",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12016392,,"Flavobacterium , Carotenoids, Lycopene β-cyclase, Mevalonic acid (MVA) pathway, Taxonomy, Zeaxanthin","Zhuo Y, Jin CZ, Lee CS, Shin KS, Lee HG. Comparative genomics and evolutionary insights into zeaxanthin biosynthesis in two novel Flavobacterium species. BMC Microbiol. 2025 Apr 23;25(1):240. PMID: 40269707; PMCID: PMC12016392.",4|449|4421|5234|5316|5959|6032|6249|12560|14969|15541|19649|37768|72395|439230|446925|3000540|4478250|5280489|5280772|5280899|5281224|5281243|5281417|5362770|6384256|6419725|9546751|9984420|10303746|11593175|12358664|12358959|15901364|54675776|133065662|135398735,341138820|341139041|341139445|341139640|341139723|341139772|341139812|341139903|341139954|341140061|341140067|341140147|341140236|341140247|341140268|341140301|341140394|341140445|341140785|341140901|341141653|341141674|341141882|341142522|341143431|341143784|341147289|341147299|341147301|341147693|341147701|341249268|375570948|375571150,,818790,,,,,,,,,,481106881|481107194|481107270|481107306|481107307|481107685|481107721|481107733|481107746|481107767|481107840|482016940|482034587|482036314|483925795|483925974|483926265|483926400|483927179|500758667|500808860|500828000|500837796|505424941|505551155|505814519|505857850|505887230|516561091|516569692|518186921,40269707,20250423
773279181,,10.1038/s41528-025-00389-5,,10.1038/s41528-025-00389-5,Springer Nature,Journal Article,Laser sintering of Cu particle-free inks for high-performance printed electronics,"Abstract: This study investigates laser sintering of Cu particle-free ink (Cu formate tetrahydrate—amino-2-propanol complex) as an alternative to conventional sintering in an oven (under inert/reducing atmosphere). Utilizing benefits of high-speed localized heating using laser, substrate damage can be prevented for low-melting substrates such as Polyethylene Terephthalate (PET). Firstly, a suitable sintering process window is achieved based on energy density for two different flexible polymeric susbtrates: Polyimide and PET using different laser parameters (laser power, scan rate and spot diameter). Subsequently, characterization of laser sintered traces are also made using different laser optic profiles (Gaussian and top hat). Different methodologies for fabrication of metallized Cu layer were also demonstrated. A very low bulk resistivity of 3.24 µΩcm (1.87 times of bulk Cu) was achieved on trace thickness of 0.85 ± 0.15 µm exhibiting good adherence to polymeric substrates. A promising fabrication process of low-cost and reliable flexible printed electronic devices is demonstrated.",npj Flexible Electronics,"Nihesh Mohan, Juan Ignacio Ahuir-Torres, Hiren R. Kotadia, Gordon Elger",,English,Chemistry and Material Science,https://doi.org/10.1038/s41528-025-00389-5,,,"Mohan N, Ahuir-Torres JI, Kotadia HR, Elger G. Laser sintering of Cu particle-free inks for high-performance printed electronics. npj Flex Electron. 2025 Mar 04;9(1). doi: 10.1038/s41528-025-00389-5.",4|280|702|129679548,341138843|341138862|341143784|341329961,,,,,,,,,,,,481101440|481107965|505424941,,20250304
38312468,PMC11749404,10.1186/s12964-025-02032-2,39833875,10.1186/s12964-025-02032-2,PubChem|Springer Nature,Journal Article|Review,Role of cardiolipin in skeletal muscle function and its therapeutic implications,"Cardiolipin, a unique phospholipid predominantly present in the inner mitochondrial membrane, is critical for maintaining mitochondrial integrity and function. Its dimeric structure and role in supporting mitochondrial dynamics, energy production, and mitophagy make it indispensable for skeletal muscle health. This review provides a comprehensive overview of cardiolipin biosynthesis, remodeling processes, and essential functions within mitochondria. We explore the influences of cardiolipin on the stability of the mitochondrial complexes, cristae formation, and calcium handling, all of which are vital for efficient oxidative phosphorylation and muscle contraction. Skeletal muscle, with its high energy demands, is particularly dependent on cardiolipin for optimal performance. We discuss the impact of aging on cardiolipin levels, which correlates with a decline in mitochondrial function and muscle mass, contributing to conditions such as sarcopenia. Furthermore, we examined the relationship between cardiolipin and endurance exercise, highlighting the effects of exercise-induced increase in cardiolipin levels on the improvement of mitochondrial function and muscle health. The role of Crls1 in cardiolipin synthesis has been emphasized as a potential therapeutic target for the treatment of sarcopenia. Increasing cardiolipin levels through gene therapy, pharmacological interventions, or specific exercise and nutritional strategies holds promise for mitigating muscle atrophy and promoting muscle regeneration. By focusing on the multifaceted role of cardiolipin in mitochondria and muscle health, we aimed to provide new insights into therapeutic approaches for enhancing muscle function and combating age-related muscle decline.",Cell communication and signaling : CCS,"Youngbum Yoo, MyeongHoon Yeon, Mee-Sup Yoon, Young-Kyo Seo",,English,"Animals; Biomedical and Life Sciences; Muscle, Skeletal*/metabolism/physiology; Cardiolipins*/metabolism/biosynthesis; Aging; Mitochondria/metabolism; Humans",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11749404,,"Crls1 , Cardiolipin, Exercise, Mitochondrial function, Muscle atrophy, Oxidative phosphorylation, Sarcopenia, Skeletal muscle","Yoo Y, Yeon M, Yoon MS, Seo YK. Role of cardiolipin in skeletal muscle function and its therapeutic implications. Cell Commun Signal. 2025 Jan 21;23(1):36. PMID: 39833875; PMCID: PMC11749404.",4|896|6132|6138|7902|68841|644275|5280450|9546751|11764719|16738692|166177218,341139750|341139914|341139937|341140253|341140785|341143299|341143784|341146589|341183642|341714538,,918069,,,,,,,,,,481107330|481107796|483926683|500773727|504687644|505424941|505857847|505857850|505857853|516563977|516566780,39833875,20250121
777061144,,10.1007/978-981-96-3841-3_10,,10.1007/978-981-96-3841-3_10,Springer Nature,Book Chapter,A Novel Method of Synthesis of Copper Nanosuspension from E-waste,,Recent Advances in Energy Transitions Towards Sustainable Development,"Anupama V. Joshi, Mihir Patil, Mohammed Afzan, V. Akshay Hariharan",,English,Chemistry and Material Science,https://doi.org/10.1007/978-981-96-3841-3_10,,,"Joshi AV, Patil M, Afzan M, Hariharan VA. A Novel Method of Synthesis of Copper Nanosuspension from E-waste. 2025. In: Springer Proceedings in Materials.",4|313|784|3301|5984|6274|9321|18616|24014|24463|62652|98037|440667|517041|2734968|4311764|10129894|11008246|54670067|57428957,341138795|341138827|341139124|341139156|341139227|341139844|341140098|341140810|341141209|341141300|341142745|341143031|341143784|341144343|341149785|341173701|341218118|341225556|341243992|341254939,,,,,,,,,,,,481107052|481107158|481107782|481107783|481107957|481107972|481107985|481107986|482095591|500715510|500771321|500827225|505424941|505575757|505581362|518173490|518173493,,20250000
770464233,,10.1007/s10971-024-06656-7,,10.1007/s10971-024-06656-7,Springer Nature,Journal Article,Optimization of Candida antarctica lipase immobilization in xerogels using an ionic liquid additive: enhanced esterification activity and thermal stability,,Journal of Sol-Gel Science and Technology,"Paloma Truccolo Reato, Adriele Sabrina Todero, Fabiana de Oliveira Pereira, Rogério Marcos Dallago, Marcelo Luis Mignoni",,English,Chemistry and Material Science,https://doi.org/10.1007/s10971-024-06656-7,,,"Reato PT, Todero AS, de Oliveira Pereira F, Dallago RM, Mignoni ML. Optimization of Candida antarctica lipase immobilization in xerogels using an ionic liquid additive: enhanced esterification activity and thermal stability. J Sol-Gel Sci Technol. 2024 Dec 28;113(3):737–48. doi: 10.1007/s10971-024-06656-7.",4|260|702|1390|6342|6517|8140|14798|14923|24261|445639|5363269|10849985,341138808|341138843|341139078|341139259|341139955|341140500|341141253|341142628|341143784|341145251|341146190|341150374|341482873,,,,,,,,,,,,481101440|481107815|481107913|481107949|481107953|500719812|500782445|505424941|505592130,,20241228
768484663,,10.1007/s10904-024-03491-9,,10.1007/s10904-024-03491-9,Springer Nature,Journal Article,Synergistic Therapeutic Effects of Stimuli Responsive Nanocomposites for Eculizumab Delivery on Membranous Glomerulonephritis,,Journal of Inorganic and Organometallic Polymers and Materials,"Qiong Zhao, Jianying Duan",,English,Chemistry and Material Science,https://doi.org/10.1007/s10904-024-03491-9,,,"Zhao Q, Duan J. Synergistic Therapeutic Effects of Stimuli Responsive Nanocomposites for Eculizumab Delivery on Membranous Glomerulonephritis. J Inorg Organomet Polym. 2024 Nov 08;35(5):3778–85. doi: 10.1007/s10904-024-03491-9.",4|3385|6228|6344|7914|7972|8058|8857|8868|11430|13528|14284|19509|24083|25517|87792|253877|517165|2733084|9949101,341138866|341138904|341139151|341139225|341139287|341139309|341139390|341139398|341139428|341139935|341139945|341140283|341140497|341143784|341147520|341153710|341164857|341173999|341259741|341495801,,,,,,,,,,,,481106886|481107491|481107808|481107952|481107977|481107991|481107997|481108009|481108037|483927256|500743319|500777484|505424941|505516314|505807018|516560876,,20241108
767292306,,10.1617/s11527-024-02476-x,,10.1617/s11527-024-02476-x,Springer Nature,Journal Article,Enhanced hydration reaction of synthesized C4A0.81F1.19 with the use of different grinding agents,"Abstract: Tetracalcium aluminoferrite (C4AF) presents in ordinary Portland cement (OPC) as a solid solution phase, as C4AxF2−x (0.7 ≤ x ≤ 1.1). There is a limited understanding of the hydration reactions of C4AF, particularly regarding the influence of alkanolamines (AA) on C4AF, which can substantially alter OPC hydration. In this study, synthesized C4A0.81F1.19 was subjected to grinding, using three different AA (triisopropanolamine, ethanol diisopropanolamine, and diethanol isopropanolamine) at dosages of 0, 0.1, and 0.3%. It was experimentally confirmed that the crystal structure of unhydrated C4AF was partially changed during the grinding process, and the hydration properties of C4AF were modified. From these results, the compressive strength improved significantly, and the rate of strength enhancement was the highest with 0.1% of diethanol isopropanolamine. More specifically, it was revealed that both Fe and Al sources were proficiently activated, leading to the production of Al/Fe-containing AFm phases and efficiently enhanced mechanical properties.",Materials and Structures,"Hyunuk Kang, Yangwoo Lee, Sungjin Jung, Juhyuk Moon",,English,Engineering,https://doi.org/10.1617/s11527-024-02476-x,,,"Kang H, Lee Y, Jung S, Moon J. Enhanced hydration reaction of synthesized C4A0.81F1.19 with the use of different grinding agents. Mater Struct. 2024 Oct 10;57(9). doi: 10.1617/s11527-024-02476-x.",4|702|3283|3776|8086|10112|14769|24730|518696|13726025|21862910|21910000,341138805|341138843|341138902|341138940|341138964|341139029|341139159|341139905|341143784|341144588|341146505|341167991,,,,,,,,,,,,481101440|481107950|481107975|481107989|500834364|500835115|505424941|505569290|505583577|505787085|516565970,,20241010
