oid,DOI,Title,Publication_Name,Subject,Publication_Type,Language,URL,extid,Image_used_as_thumbnail,CID,Publication_Date,Relevance,SID,PMID,Open_Access_Status
29363342,10.1007/s13346-019-00637-y,RGD-decorated cholesterol stabilized polyplexes for targeted siRNA delivery to glioblastoma cells,Drug Delivery and Translational Research,Biomedical and Life Sciences,journal article,En,https://doi.org/10.1007/s13346-019-00637-y,5038214-849152236,,4,2019,0.141300,341143784,30972664,1
29336181,10.1007/s11696-019-00734-9,"Synthesis of 1,2-propanediamine via reductive amination of isopropanolamine over Raney Ni under the promotion of K2CO3",Chemical Papers,Chemistry and Material Science,journal article,En,https://doi.org/10.1007/s11696-019-00734-9,5038214-849152236,,4,2019,6.937800,341143784,,0
29895086,10.1007/s40843-019-9468-5,Copper nanomaterials and assemblies for soft electronics,Science China Materials,Chemistry and Material Science,journal article,En,https://doi.org/10.1007/s40843-019-9468-5,5038214-849152236,,4,2019,0.173800,341143784,,0
29286169,10.1007/s10853-019-03508-6,Electrocatalytic activity of new Mn3O4@oxidized graphene flakes nanocomposites toward oxygen reduction reaction,Journal of Materials Science,Chemistry and Material Science,journal article,En,https://doi.org/10.1007/s10853-019-03508-6,5038214-849152236,,4,2019,0.198200,341143784,,0
33243229,10.1134/S0022476621070106,CRYSTAL STRUCTURE AND PHOTO-PHYSICAL PROPERTIES OF A SEVEN-COORDINATE Mn(II) COMPLEX,Journal of Structural Chemistry,Chemistry and Material Science,journal article,En,https://doi.org/10.1134/S0022476621070106,5038214-849152236,,4,2021,1.055300,341143784,,0
6798232,10.1007/0-387-27600-9_6,Regulation of 1D-myo-Inositol-3-Phosphate Synthase in Yeast,Biology of Inositols and Phosphoinositides,Biomedical and Life Sciences,book chapter,En,https://doi.org/10.1007/0-387-27600-9_6,5038214-849152236,https://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?doi=10.1007/0-387-27600-9_6,4,2006,0.169400,341143784,,0
6798236,10.1007/3-540-37646-1_29,Ethanolamine oxidase,Springer Handbook of Enzymes,Biomedical and Life Sciences,book chapter,En,https://doi.org/10.1007/3-540-37646-1_29,5038214-849152236,https://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?doi=10.1007/3-540-37646-1_29,4,2005,0.545400,341143784,,0
6798240,10.1007/978-1-349-17072-2_7,Study of Histamine Release with Variants of the Rat Basophilic Leukemia Cell Line,Proceedings of Invited Symposia,Engineering,book chapter,En,https://doi.org/10.1007/978-1-349-17072-2_7,5038214-849152236,https://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?doi=10.1007/978-1-349-17072-2_7,4,1983,0.351800,341143784,,0
6798244,10.1007/978-1-4612-6120-9_29,Modification of Lipid Composition and Membrane Fluidity in Tetrahymena,Membrane Fluidity,Biomedical and Life Sciences,book chapter,En,https://doi.org/10.1007/978-1-4612-6120-9_29,5038214-849152236,https://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?doi=10.1007/978-1-4612-6120-9_29,4,1980,0.320300,341143784,,0
6798248,10.1007/978-1-4613-2745-5_4,Synthesis of Tailor-Made Soluble Polymeric Drug Carriers,Recent Advances in Drug Delivery Systems,Biomedical and Life Sciences,book chapter,En,https://doi.org/10.1007/978-1-4613-2745-5_4,5038214-849152236,https://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?doi=10.1007/978-1-4613-2745-5_4,4,1984,0.121000,341143784,,0
6798252,10.1007/978-1-4615-3514-0_10,Modulation of Phosphatidylethanolamine Biosynthesis by Exogenous Ethanolamine and Analogues in the Hamster Heart,Lipid Metabolism in the Healthy and Disease Heart,Biomedical and Life Sciences,book chapter,En,https://doi.org/10.1007/978-1-4615-3514-0_10,5038214-849152236,https://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?doi=10.1007/978-1-4615-3514-0_10,4,1992,4.113800,341143784,,0
6798256,10.1007/978-1-4615-8446-9_1,Pesticide regulations and residue problems in Japan,Residue Reviews / Rückstands-Berichte,Earth and Environmental Science,book chapter,En,https://doi.org/10.1007/978-1-4615-8446-9_1,5038214-849152236,https://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?doi=10.1007/978-1-4615-8446-9_1,4,1969,0.304600,341143784,,0
6798260,10.1007/978-1-4684-4946-4_46,Membrane Events and Guanylate Cyclase Activation in Mitogen-Stimulated Lymphocytes,"Prostaglandins, Leukotrienes, and Lipoxins",Biomedical and Life Sciences,book chapter,En,https://doi.org/10.1007/978-1-4684-4946-4_46,5038214-849152236,https://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?doi=10.1007/978-1-4684-4946-4_46,4,1985,0.165400,341143784,,0
6798264,10.1007/978-1-4684-8035-1_9,Fluorescence Properties of Visual Pigmentsla,Photochemistry of Macromolecules,Chemistry and Material Science,book chapter,En,https://doi.org/10.1007/978-1-4684-8035-1_9,5038214-849152236,https://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?doi=10.1007/978-1-4684-8035-1_9,4,1970,0.283600,341143784,,0
6798268,10.1007/978-1-4899-0490-4_19,Phospholipids and Membrane Phenomena Involved in the Release of Mediators of Anaphylaxis,Phospholipid Research and the Nervous System,Biomedical and Life Sciences,book chapter,En,https://doi.org/10.1007/978-1-4899-0490-4_19,5038214-849152236,https://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?doi=10.1007/978-1-4899-0490-4_19,4,1986,0.276800,341143784,,0
